;item_nr;prime;all;target;condition
65;66;Blethaft;Blethaft;Blethaft;non-stem/suffix
66;67;Bliefkeit;Bliefkeit;Bliefkeit;non-stem/suffix
67;68;Bromhaft;Bromhaft;Bromhaft;non-stem/suffix
68;69;Bluster;Bluster;Bluster;non-stem/suffix
69;70;Bumung;Bumung;Bumung;non-stem/suffix
70;71;Ducher;Ducher;Ducher;non-stem/suffix
71;72;Eusbar;Eusbar;Eusbar;non-stem/suffix
72;73;Faldbar;Faldbar;Faldbar;non-stem/suffix
73;74;Filthaft;Filthaft;Filthaft;non-stem/suffix
74;75;Fluskeit;Fluskeit;Fluskeit;non-stem/suffix
75;76;Flerbar;Flerbar;Flerbar;non-stem/suffix
76;77;Gosichtkeit;Gosichtkeit;Gosichtkeit;non-stem/suffix
77;78;Gestenstkeit;Gestenstkeit;Gestenstkeit;non-stem/suffix
78;79;Holtkeit;Holtkeit;Holtkeit;non-stem/suffix
79;80;Holmung;Holmung;Holmung;non-stem/suffix
80;81;Hehnbar;Hehnbar;Hehnbar;non-stem/suffix
81;82;Hondung;Hondung;Hondung;non-stem/suffix
82;83;Kelsbar;Kelsbar;Kelsbar;non-stem/suffix
83;84;Kertbar;Kertbar;Kertbar;non-stem/suffix
84;85;Korfkeit;Korfkeit;Korfkeit;non-stem/suffix
85;86;Lechkeit;Lechkeit;Lechkeit;non-stem/suffix
86;87;Luptkeit;Luptkeit;Luptkeit;non-stem/suffix
87;88;Maunkeit;Maunkeit;Maunkeit;non-stem/suffix
88;89;Mulchkeit;Mulchkeit;Mulchkeit;non-stem/suffix
89;90;Moldkeit;Moldkeit;Moldkeit;non-stem/suffix
90;91;Nechter;Nechter;Nechter;non-stem/suffix
91;92;nonstung;nonstung;nonstung;non-stem/suffix
92;93;Parmbar;Parmbar;Parmbar;non-stem/suffix
93;94;Pfeldung;Pfeldung;Pfeldung;non-stem/suffix
94;95;Pulktkeit;Pulktkeit;Pulktkeit;non-stem/suffix
95;96;Ridkeit;Ridkeit;Ridkeit;non-stem/suffix
96;97;Rachtbar;Rachtbar;Rachtbar;non-stem/suffix
97;98;Saktung;Saktung;Saktung;non-stem/suffix
98;99;Sardung;Sardung;Sardung;non-stem/suffix
99;100;Schetzung;Schetzung;Schetzung;non-stem/suffix
100;101;Sintung;Sintung;Sintung;non-stem/suffix
101;102;Smurkeit;Smurkeit;Smurkeit;non-stem/suffix
102;103;Steunung;Steunung;Steunung;non-stem/suffix
103;104;Stirmbar;Stirmbar;Stirmbar;non-stem/suffix
104;105;Tafbar;Tafbar;Tafbar;non-stem/suffix
105;106;Teplichbar;Teplichbar;Teplichbar;non-stem/suffix
106;107;Teschkeit;Teschkeit;Teschkeit;non-stem/suffix
107;108;Tolfbar;Tolfbar;Tolfbar;non-stem/suffix
108;109;Tunfelung;Tunfelung;Tunfelung;non-stem/suffix
109;110;Wardbar;Wardbar;Wardbar;non-stem/suffix
110;111;Woltkeit;Woltkeit;Woltkeit;non-stem/suffix
111;112;Wisdbar;Wisdbar;Wisdbar;non-stem/suffix
112;113;Wetzkeit;Wetzkeit;Wetzkeit;non-stem/suffix
113;114;Wolphaft;Wolphaft;Wolphaft;non-stem/suffix
114;115;Wosthaft;Wosthaft;Wosthaft;non-stem/suffix
115;116;Zuhner;Zuhner;Zuhner;non-stem/suffix
116;117;Zeilbar;Zeilbar;Zeilbar;non-stem/suffix
117;118;Zelpkeit;Zelpkeit;Zelpkeit;non-stem/suffix
118;119;Armucht;Armucht;Armucht;stem/non-suffix
119;120;Baumarf;Baumarf;Baumarf;stem/non-suffix
120;121;Beinatz;Beinatz;Beinatz;stem/non-suffix
121;122;Besenau;Besenau;Besenau;stem/non-suffix
122;123;Bettarf;Bettarf;Bettarf;stem/non-suffix
123;124;Blitzpern;Blitzpern;Blitzpern;stem/non-suffix
124;125;Blutam;Blutam;Blutam;stem/non-suffix
125;126;Briefmen;Briefmen;Briefmen;stem/non-suffix
126;127;Brotarf;Brotarf;Brotarf;stem/non-suffix
127;128;Brustekt;Brustekt;Brustekt;stem/non-suffix
128;129;Busarf;Busarf;Busarf;stem/non-suffix
129;130;Dachpfen;Dachpfen;Dachpfen;stem/non-suffix
