item_nr;prime;all;target;condition
44;piurrenule;piurrenule;piurrenule;non-stem/non-suffix
45;fronsaste;fronsaste;fronsaste;non-stem/non-suffix
46;jaurouse;jaurouse;jaurouse;non-stem/non-suffix
47;tupisisse;tupisisse;tupisisse;non-stem/non-suffix
48;teblenure;teblenure;teblenure;non-stem/non-suffix
49;pomare;pomare;pomare;non-stem/non-suffix
50;tunfelipe;tunfelipe;tunfelipe;non-stem/non-suffix
51;muluque;muluque;muluque;non-stem/non-suffix
52;monpenure;monpenure;monpenure;non-stem/non-suffix
53;velterge;velterge;velterge;non-stem/non-suffix
54;bleguipe;bleguipe;bleguipe;non-stem/non-suffix
55;loufouse;loufouse;loufouse;non-stem/non-suffix
56;mapige;mapige;mapige;non-stem/non-suffix
57;duntaste;duntaste;duntaste;non-stem/non-suffix
58;telpsouse;telpsouse;telpsouse;non-stem/non-suffix
59;tenfenure;tenfenure;tenfenure;non-stem/non-suffix
60;brusable;brusable;brusable;non-stem/suffix
61;aubrement;aubrement;aubrement;non-stem/suffix
62;jombeable;jombeable;jombeable;non-stem/suffix
63;bavaiment;bavaiment;bavaiment;non-stem/suffix
64;lateur;lateur;lateur;non-stem/suffix
65;foidrement;foidrement;foidrement;non-stem/suffix
66;sargeux;sargeux;sargeux;non-stem/suffix
67;lottrement;lottrement;lottrement;non-stem/suffix
68;paimeux;paimeux;paimeux;non-stem/suffix
69;seifeur;seifeur;seifeur;non-stem/suffix
70;bumion;bumion;bumion;non-stem/suffix
71;taiteur;taiteur;taiteur;non-stem/suffix
72;glatable;glatable;glatable;non-stem/suffix
73;chalpeux;chalpeux;chalpeux;non-stem/suffix
74;falmeux;falmeux;falmeux;non-stem/suffix
75;vosment;vosment;vosment;non-stem/suffix
76;holleux;holleux;holleux;non-stem/suffix
77;ficement;ficement;ficement;non-stem/suffix
78;fastômement;fastômement;fastômement;non-stem/suffix
79;arvêtment;arvêtment;arvêtment;non-stem/suffix
80;boimion;boimion;boimion;non-stem/suffix
81;pauletable;pauletable;pauletable;non-stem/suffix
82;chionion;chionion;chionion;non-stem/suffix
