ID,Words,POS,word_num,Prob of coming after,Prob of coming bef,Condition,,POSbef,Probbef,,POSaft,Probaft
23,nains,NOU,2,0.790606201,0.024923632,normal,,,,,,
23,sont,VER,3,0.032714167,0.241223404,normal,,,,,,
23,vieux,ADJ,4,0.042561628,,normal,,,,,,
24,vos,DET,1,,0.555390947,normal,,,,,,
24,murs,NOU,2,0.790606201,0.024923632,normal,,,,,,
24,sont,VER,3,0.032714167,0.241223404,normal,,,,,,
24,épais,ADJ,4,0.042561628,,normal,,,,,,
25,il,PRO,1,,0.766592613,normal,,,,,,
25,mange,VER,2,0.656324299,0.26322682,normal,,,,,,
25,avec,PRP,3,0.132839865,0.04052333,normal,,,,,,
25,vous,PRO,4,0.089536966,,normal,,,,,,
26,qui,PRO,1,,0.766592613,normal,,,,,,
26,est,VER,2,0.656324299,0.26322682,normal,,,,,,
26,avec,PRP,3,0.132839865,0.04052333,normal,,,,,,
26,toi,PRO,4,0.089536966,,normal,,,,,,
27,son,DET,1,,0.555390947,normal,,,,,,
27,jeu,NOU,2,0.790606201,0.024923632,normal,,,,,,
27,est,VER,3,0.032714167,0.430972389,normal,,,,,,
27,cher,ADV,4,0.237261252,,normal,,,,,,
28,vivre,VER,1,,0.070952513,normal,,,,,,
28,est,VER,2,0.067543454,0.430972389,normal,,,,,,
28,cher,ADV,3,0.237261252,0.1484994,normal,,,,,,
28,ici,ADV,4,0.142873643,,normal,,,,,,
29,lavé,VER,1,,0.26322682,normal,,,,,,
29,dans,PRP,2,0.132839865,0.04052333,normal,,,,,,
29,ces,PRO,3,0.089536966,0.004197531,normal,,,,,,
29,bains,NOU,4,0.003566334,,normal,,,,,,
30,avec,PRP,1,,0.274689885,normal,,,,,,
30,votre,DET,2,0.294576618,0.555390947,normal,,,,,,
30,forme,NOU,3,0.790606201,0.202393617,normal,,,,,,
30,ronde,ADJ,4,0.050827095,,normal,,,,,,
31,pour,PRP,1,,0.04052333,normal,,,,,,
31,tous,PRO,2,0.089536966,0.016698473,normal,,,,,,
31,les,DET,3,0.008321446,0.555390947,normal,,,,,,
31,jeux,NOU,4,0.790606201,,normal,,,,,,
32,ton,DET,1,,0.555390947,normal,,,,,,
32,nez,NOU,2,0.790606201,0.024923632,normal,,,,,,
32,est,VER,3,0.032714167,0.241223404,normal,,,,,,
32,rose,ADJ,4,0.042561628,,normal,,,,,,
33,leur,DET,1,,0.555390947,normal,,,,,,
33,bébé,NOU,2,0.790606201,0.024923632,normal,,,,,,
33,est,VER,3,0.032714167,0.070952513,normal,,,,,,
33,parti,VER,4,0.067543454,,normal,,,,,,
34,être,VER,1,,0.26322682,normal,,,,,,
34,avec,PRP,2,0.132839865,0.274689885,normal,,,,,,
34,une,DET,3,0.294576618,0.555390947,normal,,,,,,
34,pomme,NOU,4,0.790606201,,normal,,,,,,
35,avec,PRP,1,,0.274689885,normal,,,,,,
35,une,DET,2,0.294576618,0.555390947,normal,,,,,,
35,femme,NOU,3,0.790606201,0.202393617,normal,,,,,,
35,mince,ADJ,4,0.050827095,,normal,,,,,,
36,cette,PRO,1,,0.004197531,normal,,,,,,
36,aile,NOU,2,0.003566334,0.024923632,normal,,,,,,
36,rompt,VER,3,0.032714167,0.430972389,normal,,,,,,
36,ici,ADV,4,0.237261252,,normal,,,,,,
37,mais,CON,1,,0.172860947,normal,,,,,,
37,cela,PRO,2,0.502608988,0.766592613,normal,,,,,,
37,est,VER,3,0.656324299,0.241223404,normal,,,,,,
37,vrai,ADJ,4,0.042561628,,normal,,,,,,
38,fumer,VER,1,,0.346851145,normal,,,,,,
38,une,DET,2,0.192188223,0.211702128,normal,,,,,,
38,seule,ADJ,3,0.082137899,0.056296296,normal,,,,,,
38,fois,NOU,4,0.414676259,,normal,,,,,,
39,elle,PRO,1,,0.766592613,normal,,,,,,
39,peut,VER,2,0.656324299,0.070952513,normal,,,,,,
39,être,VER,3,0.067543454,0.430972389,normal,,,,,,
39,ici,ADV,4,0.237261252,,normal,,,,,,
40,les,DET,1,,0.555390947,normal,,,,,,
40,pics,NOU,2,0.790606201,0.024923632,normal,,,,,,
40,sont,VER,3,0.032714167,0.241223404,normal,,,,,,
40,verts,ADJ,4,0.042561628,,normal,,,,,,
41,son,DET,1,,0.555390947,normal,,,,,,
41,toit,NOU,2,0.790606201,0.024923632,normal,,,,,,
41,est,VER,3,0.032714167,0.430972389,normal,,,,,,
41,bas,ADV,4,0.237261252,,normal,,,,,,
42,être,VER,1,,0.26322682,normal,,,,,,
42,dans,PRP,2,0.132839865,0.04052333,normal,,,,,,
42,cette,PRO,3,0.089536966,0.004197531,normal,,,,,,
42,ville,NOU,4,0.003566334,,normal,,,,,,
43,sur,PRP,1,,0.04052333,normal,,,,,,
43,ces,PRO,2,0.089536966,0.004787234,normal,,,,,,
43,hauts,ADJ,3,0.00053495,0.056296296,normal,,,,,,
43,toits,NOU,4,0.414676259,,normal,,,,,,
44,dans,PRP,1,,0.274689885,normal,,,,,,
44,leur,DET,2,0.294576618,0.555390947,normal,,,,,,
44,robe,NOU,3,0.790606201,0.202393617,normal,,,,,,
44,noire,ADJ,4,0.050827095,,normal,,,,,,
45,son,DET,1,,0.555390947,normal,,,,,,
45,gant,NOU,2,0.790606201,0.024923632,normal,,,,,,
45,est,VER,3,0.032714167,0.241223404,normal,,,,,,
45,grand,ADJ,4,0.042561628,,normal,,,,,,
46,papa,NOU,1,,0.024923632,normal,,,,,,
46,aime,VER,2,0.032714167,0.346851145,normal,,,,,,
46,les,DET,3,0.192188223,0.555390947,normal,,,,,,
46,vents,NOU,4,0.790606201,,normal,,,,,,
47,ils,PRO,1,,0.766592613,normal,,,,,,
47,sont,VER,2,0.656324299,0.26322682,normal,,,,,,
47,avec,PRP,3,0.132839865,0.04052333,normal,,,,,,
47,eux,PRO,4,0.089536966,,normal,,,,,,
48,allez,VER,1,,0.26322682,normal,,,,,,
48,avec,PRP,2,0.132839865,0.274689885,normal,,,,,,
48,mon,DET,3,0.294576618,0.555390947,normal,,,,,,
48,père,NOU,4,0.790606201,,normal,,,,,,
49,notre,DET,1,,0.555390947,normal,,,,,,
49,jupe,NOU,2,0.790606201,0.024923632,normal,,,,,,
49,est,VER,3,0.032714167,0.070952513,normal,,,,,,
49,chère,VER,4,0.067543454,,normal,,,,,,
50,ses,DET,1,,0.555390947,normal,,,,,,
50,fils,NOU,2,0.790606201,0.024923632,normal,,,,,,
50,font,VER,3,0.032714167,0.123769827,normal,,,,,,
50,tout,PRO,4,0.141299319,,normal,,,,,,
51,cette,PRO,1,,0.004197531,normal,,,,,,
51,forêt,NOU,2,0.003566334,0.024923632,normal,,,,,,
51,est,VER,3,0.032714167,0.241223404,normal,,,,,,
51,belle,ADJ,4,0.042561628,,normal,,,,,,
52,leur,DET,1,,0.555390947,normal,,,,,,
52,lampe,NOU,2,0.790606201,0.024923632,normal,,,,,,
52,est,VER,3,0.032714167,0.070952513,normal,,,,,,
