item_nr,all,flanker_type,lexicality,condition
209,sabe cofi sabe,unrelated,nonword,nonword/unrelated
210,coui arne coui,unrelated,nonword,nonword/unrelated
211,goir ches goir,unrelated,nonword,nonword/unrelated
212,jage rour jage,unrelated,nonword,nonword/unrelated
213,boge chir boge,unrelated,nonword,nonword/unrelated
214,tess boui tess,unrelated,nonword,nonword/unrelated
215,arve juci arve,unrelated,nonword,nonword/unrelated
216,nobe ifus nobe,unrelated,nonword,nonword/unrelated
217,posi dave posi,unrelated,nonword,nonword/unrelated
218,jive nour jive,unrelated,nonword,nonword/unrelated
219,bome glur bome,unrelated,nonword,nonword/unrelated
220,gouf diel gouf,unrelated,nonword,nonword/unrelated
221,acun irme acun,unrelated,nonword,nonword/unrelated
222,drai jote drai,unrelated,nonword,nonword/unrelated
223,daud iser daud,unrelated,nonword,nonword/unrelated
224,diol vare diol,unrelated,nonword,nonword/unrelated
225,juci vets juci,unrelated,nonword,nonword/unrelated
226,ifus mato ifus,unrelated,nonword,nonword/unrelated
227,acci spel acci,unrelated,nonword,nonword/unrelated
228,glac yope glac,unrelated,nonword,nonword/unrelated
229,ogne adis ogne,unrelated,nonword,nonword/unrelated
230,crec humi crec,unrelated,nonword,nonword/unrelated
231,tute gami tute,unrelated,nonword,nonword/unrelated
232,flin uter flin,unrelated,nonword,nonword/unrelated
233,groi cupe groi,unrelated,nonword,nonword/unrelated
234,flir sute flir,unrelated,nonword,nonword/unrelated
235,carc deno carc,unrelated,nonword,nonword/unrelated
236,haid jore haid,unrelated,nonword,nonword/unrelated
237,chen orir chen,unrelated,nonword,nonword/unrelated
238,duve cing duve,unrelated,nonword,nonword/unrelated
239,nans ucre nans,unrelated,nonword,nonword/unrelated
240,pluo adre pluo,unrelated,nonword,nonword/unrelated
241,luxe,no,word,word/no
242,paye,no,word,word/no
243,leur,no,word,word/no
244,muse,no,word,word/no
245,peut,no,word,word/no
246,mari,no,word,word/no
247,mont,no,word,word/no
248,muet,no,word,word/no
249,noce,no,word,word/no
250,lier,no,word,word/no
251,midi,no,word,word/no
252,pare,no,word,word/no
253,oser,no,word,word/no
254,page,no,word,word/no
255,noix,no,word,word/no
256,muni,no,word,word/no
257,moto,no,word,word/no
258,loge,no,word,word/no
259,mort,no,word,word/no
260,peur,no,word,word/no
261,mode,no,word,word/no
262,nord,no,word,word/no
263,mise,no,word,word/no
264,loup,no,word,word/no
265,maxi,no,word,word/no
266,part,no,word,word/no
267,naze,no,word,word/no
268,mime,no,word,word/no
269,noie,no,word,word/no
270,lion,no,word,word/no
271,oral,no,word,word/no
272,note,no,word,word/no
273,nain,no,word,word/no
274,lien,no,word,word/no
275,main,no,word,word/no
276,ogre,no,word,word/no
277,lent,no,word,word/no
278,perd,no,word,word/no
279,pain,no,word,word/no
280,nuit,no,word,word/no
281,ment,no,word,word/no
282,pion,no,word,word/no
283,pipi,no,word,word/no
284,orge,no,word,word/no
285,plie,no,word,word/no
286,nier,no,word,word/no
287,nerf,no,word,word/no
288,pire,no,word,word/no
289,pipe,no,word,word/no
290,lune,no,word,word/no
291,mule,no,word,word/no
292,parc,no,word,word/no
293,nage,no,word,word/no
294,pile,no,word,word/no
295,oeil,no,word,word/no
296,long,no,word,word/no
297,plan,no,word,word/no
298,loin,no,word,word/no
299,pape,no,word,word/no
300,ocre,no,word,word/no
301,logo,no,word,word/no
302,poil,no,word,word/no
303,lire,no,word,word/no
304,lynx,no,word,word/no
305,paie,no,word,word/no
306,moue,no,word,word/no
307,onde,no,word,word/no
308,luge,no,word,word/no
309,mare,no,word,word/no
310,plat,no,word,word/no
311,neuf,no,word,word/no
312,noir,no,word,word/no
313,mien,no,word,word/no
314,pied,no,word,word/no
315,mine,no,word,word/no
316,loto,no,word,word/no
317,paix,no,word,word/no
318,miel,no,word,word/no
319,oeuf,no,word,word/no
320,onze,no,word,word/no
321,dire dire dire,related,word,word/related
322,cerf cerf cerf,related,word,word/related
323,agir agir agir,related,word,word/related
324,clip clip clip,related,word,word/related
325,chic chic chic,related,word,word/related
326,boit boit boit,related,word,word/related
327,cuve cuve cuve,related,word,word/related
328,bord bord bord,related,word,word/related
329,abri abri abri,related,word,word/related
330,avec avec avec,related,word,word/related
331,cher cher cher,related,word,word/related
332,banc banc banc,related,word,word/related
333,clan clan clan,related,word,word/related
334,cool cool cool,related,word,word/related
335,cuit cuit cuit,related,word,word/related
336,camp camp camp,related,word,word/related
337,bout bout bout,related,word,word/related
338,dent dent dent,related,word,word/related
339,ceux ceux ceux,related,word,word/related
340,cinq cinq cinq,related,word,word/related
341,boxe boxe boxe,related,word,word/related
342,aide aide aide,related,word,word/related
343,abat abat abat,related,word,word/related
344,demi demi demi,related,word,word/related
345,cour cour cour,related,word,word/related
346,coup coup coup,related,word,word/related
347,amer amer amer,related,word,word/related
348,crie crie crie,related,word,word/related
349,chat chat chat,related,word,word/related
350,brun brun brun,related,word,word/related
351,coin coin coin,related,word,word/related
352,acte acte acte,related,word,word/related
353,ange ange ange,related,word,word/related
354,bien bien bien,related,word,word/related
355,case case case,related,word,word/related
356,cave cave cave,related,word,word/related
357,bloc bloc bloc,related,word,word/related
358,bail bail bail,related,word,word/related
359,chut chut chut,related,word,word/related
360,arme arme arme,related,word,word/related
361,chef chef chef,related,word,word/related
362,amie amie amie,related,word,word/related
363,boue boue boue,related,word,word/related
364,brin brin brin,related,word,word/related
365,ciel ciel ciel,related,word,word/related
366,bise bise bise,related,word,word/related
367,code code code,related,word,word/related
368,bile bile bile,related,word,word/related
369,deux deux deux,related,word,word/related
370,agit agit agit,related,word,word/related
371,cash cash cash,related,word,word/related
372,dame dame dame,related,word,word/related
373,base base base,related,word,word/related
374,cure cure cure,related,word,word/related
375,bobo bobo bobo,related,word,word/related
376,brut brut brut,related,word,word/related
377,cote cote cote,related,word,word/related
378,aube aube aube,related,word,word/related
379,dise dise dise,related,word,word/related
380,bref bref bref,related,word,word/related
381,aime aime aime,related,word,word/related
382,cape cape cape,related,word,word/related
383,cuir cuir cuir,related,word,word/related
384,baie baie baie,related,word,word/related
385,choc choc choc,related,word,word/related
386,clef clef clef,related,word,word/related
387,date date date,related,word,word/related
388,cire cire cire,related,word,word/related
389,bond bond bond,related,word,word/related
390,ceci ceci ceci,related,word,word/related
391,bouc bouc bouc,related,word,word/related
392,apte apte apte,related,word,word/related
393,cube cube cube,related,word,word/related
394,azur azur azur,related,word,word/related
395,crue crue crue,related,word,word/related
396,auto auto auto,related,word,word/related
397,club club club,related,word,word/related
398,cage cage cage,related,word,word/related
399,cent cent cent,related,word,word/related
