ID,Position,Words,POS,POS after,Condition,Prob of coming after,Prob of coming bef,,POSbef,Probbef,,POSaft,Probaft
74,1,vrat,VER,VER,congruent,,0.175068744,,,,,,
74,2,sleep,VER,VER,congruent,0.175068744,0.175068744,,,,,,
74,3,vrat,VER,VER,congruent,0.175068744,,,,,,,
75,1,drijf,VER,VER,congruent,,0.175068744,,,,,,
75,2,baar,VER,VER,congruent,0.175068744,0.175068744,,,,,,
75,3,drijf,VER,VER,congruent,0.175068744,,,,,,,
76,1,breek,VER,VER,congruent,,0.175068744,,,,,,
76,2,maak,VER,VER,congruent,0.175068744,0.175068744,,,,,,
76,3,breek,VER,VER,congruent,0.175068744,,,,,,,
77,1,stook,VER,VER,congruent,,0.175068744,,,,,,
77,2,ween,VER,VER,congruent,0.175068744,0.175068744,,,,,,
77,3,stook,VER,VER,congruent,0.175068744,,,,,,,
78,1,houd,VER,VER,congruent,,0.175068744,,,,,,
78,2,blijf,VER,VER,congruent,0.175068744,0.175068744,,,,,,
78,3,houd,VER,VER,congruent,0.175068744,,,,,,,
79,1,blijf,VER,VER,congruent,,0.175068744,,,,,,
79,2,stelp,VER,VER,congruent,0.175068744,0.175068744,,,,,,
79,3,blijf,VER,VER,congruent,0.175068744,,,,,,,
80,1,aaide,VER,VER,congruent,,0.175068744,,,,,,
80,2,hakt,VER,VER,congruent,0.175068744,0.175068744,,,,,,
80,3,aaide,VER,VER,congruent,0.175068744,,,,,,,
81,1,gunde,VER,VER,congruent,,0.175068744,,,,,,
81,2,tril,VER,VER,congruent,0.175068744,0.175068744,,,,,,
81,3,gunde,VER,VER,congruent,0.175068744,,,,,,,
82,1,roei,VER,VER,congruent,,0.175068744,,,,,,
82,2,snap,VER,VER,congruent,0.175068744,0.175068744,,,,,,
82,3,roei,VER,VER,congruent,0.175068744,,,,,,,
83,1,rouw,VER,VER,congruent,,0.175068744,,,,,,
83,2,bekt,VER,VER,congruent,0.175068744,0.175068744,,,,,,
83,3,rouw,VER,VER,congruent,0.175068744,,,,,,,
84,1,stak,VER,VER,congruent,,0.175068744,,,,,,
84,2,weet,VER,VER,congruent,0.175068744,0.175068744,,,,,,
84,3,stak,VER,VER,congruent,0.175068744,,,,,,,
85,1,zakt,VER,VER,congruent,,0.175068744,,,,,,
85,2,vier,VER,VER,congruent,0.175068744,0.175068744,,,,,,
85,3,zakt,VER,VER,congruent,0.175068744,,,,,,,
86,1,stelp,VER,VER,congruent,,0.175068744,,,,,,
86,2,zoek,VER,VER,congruent,0.175068744,0.175068744,,,,,,
86,3,stelp,VER,VER,congruent,0.175068744,,,,,,,
87,1,sterf,VER,VER,congruent,,0.175068744,,,,,,
87,2,leun,VER,VER,congruent,0.175068744,0.175068744,,,,,,
87,3,sterf,VER,VER,congruent,0.175068744,,,,,,,
88,1,duwde,VER,VER,congruent,,0.175068744,,,,,,
88,2,kapte,VER,VER,congruent,0.175068744,0.175068744,,,,,,
88,3,duwde,VER,VER,congruent,0.175068744,,,,,,,
89,1,train,VER,VER,congruent,,0.175068744,,,,,,
89,2,eerde,VER,VER,congruent,0.175068744,0.175068744,,,,,,
89,3,train,VER,VER,congruent,0.175068744,,,,,,,
90,1,zegt,VER,VER,congruent,,0.175068744,,,,,,
90,2,lukt,VER,VER,congruent,0.175068744,0.175068744,,,,,,
90,3,zegt,VER,VER,congruent,0.175068744,,,,,,,
91,1,ween,VER,VER,congruent,,0.175068744,,,,,,
91,2,viel,VER,VER,congruent,0.175068744,0.175068744,,,,,,
91,3,ween,VER,VER,congruent,0.175068744,,,,,,,
92,1,past,VER,VER,congruent,,0.175068744,,,,,,
92,2,zinde,VER,VER,congruent,0.175068744,0.175068744,,,,,,
92,3,past,VER,VER,congruent,0.175068744,,,,,,,
93,1,kopt,VER,VER,congruent,,0.175068744,,,,,,
93,2,breek,VER,VER,congruent,0.175068744,0.175068744,,,,,,
93,3,kopt,VER,VER,congruent,0.175068744,,,,,,,
94,1,klikt,VER,VER,congruent,,0.175068744,,,,,,
94,2,reeg,VER,VER,congruent,0.175068744,0.175068744,,,,,,
94,3,klikt,VER,VER,congruent,0.175068744,,,,,,,
95,1,tril,VER,VER,congruent,,0.175068744,,,,,,
95,2,gunde,VER,VER,congruent,0.175068744,0.175068744,,,,,,
95,3,tril,VER,VER,congruent,0.175068744,,,,,,,
96,1,beken,VER,VER,congruent,,0.175068744,,,,,,
96,2,kroop,VER,VER,congruent,0.175068744,0.175068744,,,,,,
96,3,beken,VER,VER,congruent,0.175068744,,,,,,,
97,1,beef,VER,VER,congruent,,0.175068744,,,,,,
97,2,zakt,VER,VER,congruent,0.175068744,0.175068744,,,,,,
97,3,beef,VER,VER,congruent,0.175068744,,,,,,,
98,1,doet,VER,VER,congruent,,0.175068744,,,,,,
