FFDr	FFDp	SFD	GZD	TVT	SKP	nfp	nsp	nap	s1	s2	nlett1	ISL	OSL	f	pred	ILP	haveFixation	haveFirstPass
236	0	236	236	236	0	1	0	1	0	0	6	8.13257	7.086816	4.885587	0	0.839063714285714	1	1
216	0	216	216	216	0	1	0	1	0	0	11	7.086816	10.810398	2.621176	0	0.4966885	1	1
192	0	192	192	368	0	1	1	2	0	0	5	10.810398	6.332024	4.536887	0	0.79511	1	1
236	236	0	236	236	0	1	0	1	0	1	7	6.332024	6.902589	3.271842	0	0.6378355	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.784187	0	0	0	0
238	0	238	238	238	0	1	0	1	1	1	6	16.638	8.190179	4.070001	0.013699	0.405442142857143	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	4.630499	0.054795	0	0	0
168	0	168	168	168	0	1	0	1	1	0	2	8.190179	8.479315	6.035134	0.863014	0.00942466666666667	1	1
0	0	0	112	112	0	0	0	0	0	0	8	8.479315	0	4.379106	0.616438	0	1	1
0	0	0	238	238	0	0	0	0	0	0	3	0	8.102073	4.550265	0	0	1	1
178	0	178	178	178	0	1	0	1	0	0	6	8.102073	8.124944	4.885587	0	0.624786	1	1
118	0	118	118	118	0	1	0	1	0	0	6	8.124944	4.879511	4.012289	0.134328	0.785492285714286	1	1
186	0	186	186	186	0	1	0	1	0	1	3	4.879511	5.035059	5.460754	0.343284	0.84448925	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	5.776456	0.880597	0	0	0
210	0	210	210	298	0	1	1	2	0	0	5	5.035059	5.722222	5.39066	0.089552	0.235502666666667	1	1
140	140	0	140	308	0	1	1	2	0	0	8	5.722222	2.601526	2.984527	0	0.126137555555556	1	1
136	0	136	136	136	0	1	0	1	0	0	8	5.54937	10.323993	2.825426	0.014925	0.535280555555556	1	1
0	0	0	112	112	0	0	0	0	0	0	9	10.323993	0	3.97973	0.761194	0	1	1
0	0	0	330	330	0	0	0	0	0	1	4	0	7.83692	3.394802	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	4	0	0	4.635574	0	0	0	0
134	134	0	328	328	0	2	0	2	1	0	9	7.83692	8.121485	3.010724	0	0.1166667	1	1
216	0	216	216	216	0	1	0	1	0	1	6	8.121485	8.371966	3.056524	0.677419	0.623908714285714	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.460754	0.467742	0	0	0
114	0	114	114	114	0	1	0	1	1	0	2	8.371966	6.606885	5.776456	0.516129	0.579775666666667	1	1
0	0	0	88	88	0	0	0	0	0	0	9	6.606885	0	3.180413	0.790323	0	1	1
0	0	0	348	348	0	0	0	0	0	0	3	0	6.35061	4.6783	0	0	1	1
128	0	128	128	390	0	1	1	2	0	0	4	6.35061	5.441088	5.007718	0.013889	0.9810416	1	1
72	72	0	72	72	0	1	0	1	0	1	7	5.441088	7.806347	2.495544	0	0.668287	1	1
170	0	170	170	170	0	1	0	1	1	1	3	12.8176	7.714421	5.781731	0.125	0.58938725	1	1
0	0	0	0	0	0	0	0	0	0	0	4	0	0	5.902784	0.208333	0	0	0
132	132	0	228	228	0	2	0	2	1	0	4	7.714421	5.88411	4.729027	0	0.214394	1	1
0	0	0	126	126	0	0	0	0	0	0	9	5.88411	0	2.311754	0	0	1	1
0	0	0	204	204	0	0	0	0	0	1	3	0	6.259332	5.326188	0.157143	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.577601	0.014493	0	0	0
498	0	498	498	498	0	1	0	1	1	0	3	6.259332	4.814525	4.372617	0.014493	0.0192855	1	1
94	0	94	94	94	0	1	0	1	0	0	6	4.814525	6.204508	5.11238	0.362319	0.127381	1	1
122	0	122	122	122	0	1	0	1	0	0	7	6.204508	8.221567	3.099335	0.057971	0.012021875	1	1
62	0	62	62	62	0	1	0	1	0	0	3	8.221567	5.734605	5.703461	0.695652	0.0794355	1	1
0	0	0	142	142	0	0	0	0	0	0	6	5.734605	0	3.157457	0.014493	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.425435	0.203125	0	0	0
0	0	0	0	0	0	0	0	0	0	0	8	0	0	2.459392	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7	0	0	3.722552	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.544486	0.890625	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6	0	0	2.833784	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6	0	0	3.354301	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.434424	0.703125	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7	0	0	2.761176	0	0	0	0
0	0	0	166	166	0	0	0	0	0	0	3	0	6.140037	4.085326	0	0	1	1
338	338	0	594	594	0	2	0	2	0	0	13	6.140037	9.537181	3.072985	0	0.293543928571429	1	1
286	0	286	286	286	0	1	0	1	0	0	6	9.537181	4.096591	3.940068	0	0.747294428571429	1	1
176	0	176	176	176	0	1	0	1	0	0	5	4.096591	7.137824	5.912923	0	0.387942	1	1
168	0	168	168	168	0	1	0	1	0	0	4	7.137824	6.380067	5.180948	0.074627	0.6930952	1	1
0	0	0	172	172	0	1	0	1	0	0	4	6.380067	0	4.695963	0.447761	0	1	1
0	0	0	0	0	0	0	0	0	0	0	8	0	0	4.798823	0.597015	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	0	0	5.414248	0.61194	0	0	0
0	0	0	438	438	0	0	0	0	0	0	13	0	10.465769	2.071882	0	0	1	1
248	0	248	248	248	0	1	0	1	0	0	8	10.465769	6.017238	3.278067	0	0.760237444444444	1	1
160	0	160	160	370	0	1	1	2	0	1	4	6.017238	7.583762	5.902784	0.515152	0.771875	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	6.203778	0	0	0	0
136	136	0	136	252	0	1	1	2	1	0	6	7.583762	7.924248	3.758685	0	0.491876714285714	1	1
0	0	0	0	0	0	0	0	0	0	0	6	0	0	1.897627	0.515152	0	0	0
154	0	154	154	154	0	1	0	1	1	1	3	13.895884	8.909288	5.840556	0.848485	0.7987555	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.475158	0.19697	0	0	0
0	0	0	232	232	0	1	0	1	0	0	7	8.909288	0	2.037426	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	4	0	0	5.314105	0.969697	0	0	0
0	0	0	354	354	0	0	0	0	0	0	9	0	7.206333	0.30103	0	0	1	1
70	70	0	328	328	0	2	0	2	0	0	10	7.206333	8.898831	1.724276	0.015625	0.138831181818182	1	1
184	184	0	224	224	0	2	0	2	0	0	8	8.898831	6.856108	2.522444	0.015625	0.520793111111111	1	1
164	0	164	164	164	0	1	0	1	0	1	6	6.856108	8.094987	2.507856	0.015625	0.916884428571429	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.970848	0.578125	0	0	0
258	0	258	258	258	0	1	0	1	0	0	7	8.094987	9.565894	3.66436	0	0.43914725	1	1
0	0	0	176	176	0	0	0	0	0	0	8	9.565894	0	2.330414	0.015625	0	1	1
0	0	0	314	314	0	0	0	0	0	1	5	0	9.520723	4.150818	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.078625	0.291139	0	0	0
148	148	0	224	224	0	2	0	2	1	0	10	9.520723	8.3387	2.603144	0	0.259295636363636	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.577601	0.139241	0	0	0
160	0	160	160	160	0	1	0	1	1	1	4	8.3387	7.392687	5.648503	0.556962	0.4025208	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.509479	0.075949	0	0	0
0	0	0	278	278	0	0	0	0	1	0	10	7.392687	0	2.914872	0	0	1	1
0	0	0	204	204	0	0	0	0	0	0	5	0	4.112083	3.946845	0	0	1	1
116	116	0	236	236	0	2	0	2	0	0	10	4.112083	7.229719	2.746634	0	0.0767371818181818	1	1
206	0	206	206	206	0	1	0	1	0	0	5	7.229719	4.857343	5.296035	0	0.746318833333333	1	1
156	0	156	156	156	0	1	0	1	0	0	4	4.857343	7.292661	5.902784	0.101266	0.6670512	1	1
160	0	160	160	160	0	1	0	1	0	1	5	7.292661	6.076215	5.122055	0.063291	0.937986166666667	1	1
0	0	0	0	0	0	0	0	0	0	0	4	0	0	5.078243	0.012658	0	0	0
242	0	242	242	242	0	1	0	1	0	0	5	6.076215	11.110632	3.142702	0.012658	0.117355333333333	1	1
0	0	0	184	184	0	0	0	0	0	0	11	11.110632	0	2.680336	0.620253	0	1	1
0	0	0	314	314	0	0	0	0	0	1	5	0	8.27828	4.238673	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.509479	0.061728	0	0	0
140	140	0	250	250	0	2	0	2	1	0	5	8.27828	6.15142	3.806384	0	0.0499008333333333	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.878413	0.506329	0	0	0
144	144	0	278	278	0	2	0	2	1	0	13	6.15142	12.112761	3.344981	0.227848	0.000372	1	1
140	0	140	140	140	0	1	0	1	0	1	7	12.112761	10.10079	4.966597	0.974684	0.649791625	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.475158	0.607595	0	0	0
0	0	0	152	152	0	0	0	0	1	0	9	10.10079	0	3.573336	0.493671	0	1	1
0	0	0	214	214	0	0	0	0	0	0	5	0	3.854162	2.260071	0	0	1	1
132	0	132	132	132	0	1	0	1	0	0	5	3.854162	6.635146	4.266749	0.013889	0.0746423333333333	1	1
200	0	200	200	200	0	1	0	1	0	0	5	6.635146	8.777731	5.465099	0.013889	0.1805	1	1
146	0	146	146	146	0	1	0	1	0	1	4	8.777731	7.533793	3.694693	0	0.7721462	1	1
0	0	0	0	206	1	0	1	1	0	1	3	0	0	5.970848	0.055556	0	1	0
140	140	0	140	140	0	1	0	1	1	0	9	7.533793	5.840721	1.90309	0	0.2394524	1	1
0	0	0	206	206	0	1	0	1	1	0	7	17.395792	0	2.694605	0.027778	0	1	1
0	0	0	0	0	0	0	0	0	0	0	5	0	0	5.456419	0.361111	0	0	0
0	0	0	186	186	0	0	0	0	0	0	3	0	7.0671	4.873588	0	0	1	1
160	0	160	160	160	0	1	0	1	0	1	5	7.0671	4.371195	4.047197	0	0.848593666666667	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	4.902389	0	0	0	0
162	0	162	162	162	0	1	0	1	0	0	8	4.371195	11.908347	2.715167	0	0.0514174444444444	1	1
154	0	154	154	154	0	1	0	1	0	1	4	11.908347	6.338942	5.287125	0.892308	0.6742208	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.315067	0.969231	0	0	0
146	0	146	146	146	0	1	0	1	1	0	3	6.338942	7.42825	5.970848	0.169231	0.1775115	1	1
