Words,Lg10CD,dominant.pos,POS
heen,3.7832,VZ,PRP
eigen,3.7823,ADJ,ADJ
vertel,3.7791,WW,VER
krijg,3.7787,WW,VER
buiten,3.7786,VZ,PRP
vader,3.7752,N,NOU
wachten,3.7751,WW,VER
thuis,3.775,BW,ADV
houdt,3.773,WW,VER
geeft,3.7725,WW,VER
morgen,3.7722,BW,ADV
gelijk,3.7711,ADJ,ADJ
moeder,3.7707,N,NOU
alsjeblieft,3.77,WW,VER
eten,3.77,WW,VER
geleden,3.7676,BW,ADV
want,3.7671,VG,CON
verder,3.7666,ADJ,ADJ
vandaag,3.7663,BW,ADV
soms,3.7635,BW,ADV
gehad,3.7633,WW,VER
zat,3.7631,WW,VER
geld,3.763,N,NOU
hallo,3.7628,N,NOU
pas,3.7628,BW,ADV
gebeurt,3.7609,WW,VER
krijgt,3.7609,WW,VER
daarom,3.7608,BW,ADV
zouden,3.7572,WW,VER
begrijp,3.7515,WW,VER
open,3.7503,ADJ,ADJ
m'n,3.7498,VNW,PRO
precies,3.7497,ADJ,ADJ
gevonden,3.7493,WW,VER
probeer,3.7488,WW,VER
probleem,3.7487,N,NOU
gehoord,3.7477,WW,VER
z'n,3.7473,VNW,PRO
vroeg,3.7463,WW,VER
ben,3.7455,WW,VER
zet,3.7437,WW,VER
blijft,3.7434,WW,VER
kant,3.7423,N,NOU
gemaakt,3.7419,WW,VER
elke,3.7415,VNW,PRO
heet,3.7413,WW,VER
rustig,3.7409,ADJ,ADJ
uur,3.7404,N,NOU
voel,3.7403,WW,VER
vindt,3.7401,WW,VER
ergens,3.7386,VNW,PRO
wereld,3.7377,N,NOU
haal,3.7373,WW,VER
volgende,3.7373,WW,VER
zoeken,3.736,WW,VER
alsof,3.7351,VG,CON
niks,3.7345,VNW,PRO
god,3.7327,N,NOU
ligt,3.7326,WW,VER
vrienden,3.7306,N,NOU
werken,3.7302,WW,VER
oké,3.7301,N,NOU
volgens,3.7295,VZ,PRP
best,3.7284,ADJ,ADJ
welke,3.7282,VNW,PRO
eigenlijk,3.7279,ADJ,ADJ
word,3.7273,WW,VER
beste,3.7268,ADJ,ADJ
dagen,3.7244,N,NOU
één,3.7241,ADJ,ADJ
ding,3.7239,N,NOU
werkt,3.7237,WW,VER
blij,3.7223,ADJ,ADJ
slecht,3.7222,ADJ,ADJ
brengen,3.7212,WW,VER
hoofd,3.7211,N,NOU
eruit,3.7207,BW,ADV
pak,3.7195,WW,VER
hé,3.7192,BW,ADV
jongen,3.7186,N,NOU
geloven,3.7184,WW,VER
tussen,3.7174,VZ,PRP
hoeveel,3.7173,BW,ADV
kun,3.7153,WW,VER
jezelf,3.7149,VNW,PRO
kans,3.7143,N,NOU
vond,3.711,WW,VER
spreken,3.7089,WW,VER
kinderen,3.707,N,NOU
kent,3.7051,WW,VER
groot,3.7006,ADJ,ADJ
meisje,3.6997,N,NOU
moment,3.6995,N,NOU
breng,3.6994,WW,VER
hoeft,3.6989,WW,VER
ogen,3.6964,N,NOU
hulp,3.6955,N,NOU
manier,3.6954,N,NOU
geweldig,3.6952,ADJ,ADJ
vanavond,3.6951,BW,ADV
stop,3.6941,WW,VER
mooie,3.6936,ADJ,ADJ
sta,3.6933,WW,VER
zoveel,3.6933,BW,ADV
vergeten,3.6926,WW,VER
wees,3.6922,WW,VER
later,3.6922,ADJ,ADJ
mannen,3.6917,N,NOU
proberen,3.6916,WW,VER
vijf,3.6907,ADJ,ADJ
praat,3.6901,WW,VER
oude,3.6898,ADJ,ADJ
boven,3.6882,VZ,PRP
verteld,3.687,WW,VER
gebruiken,3.685,WW,VER
help,3.6846,WW,VER
ervan,3.6844,BW,ADV
beginnen,3.6821,WW,VER
klopt,3.6817,WW,VER
bel,3.6804,WW,VER
jongens,3.6798,N,NOU
hen,3.6778,VNW,PRO
vrij,3.6761,ADJ,ADJ
problemen,3.6756,N,NOU
auto,3.6751,N,NOU
stel,3.675,WW,VER
soort,3.6745,N,NOU
pijn,3.6743,N,NOU
moeilijk,3.6741,ADJ,ADJ
vol,3.6739,ADJ,ADJ
zorg,3.6729,WW,VER
lopen,3.6723,WW,VER
mis,3.672,ADJ,ADJ
zoiets,3.6718,VNW,PRO
familie,3.6713,N,NOU
hoort,3.6695,WW,VER
hetzelfde,3.6691,ADJ,ADJ
kleine,3.669,ADJ,ADJ
lekker,3.6689,ADJ,ADJ
gekomen,3.6666,WW,VER
kind,3.6663,N,NOU
echte,3.6663,ADJ,ADJ
vier,3.6661,ADJ,ADJ
sinds,3.666,VZ,PRP
gebeuren,3.6658,WW,VER
betekent,3.6652,WW,VER
vergeet,3.6649,WW,VER
deur,3.6645,N,NOU
mogen,3.6641,WW,VER
begin,3.664,N,NOU
eerder,3.6625,ADJ,ADJ
wou,3.6624,WW,VER
't,3.6615,VNW,PRO
zoek,3.6598,WW,VER
week,3.6583,N,NOU
juist,3.6579,BW,ADV
voorbij,3.6579,ADJ,ADJ
zodat,3.657,VG,CON
schiet,3.6567,WW,VER
prima,3.6553,ADJ,ADJ
ander,3.6542,ADJ,ADJ
meteen,3.6536,BW,ADV
druk,3.6536,ADJ,ADJ
kamer,3.6523,N,NOU
bezig,3.6511,ADJ,ADJ
snap,3.6502,WW,VER
handen,3.6494,N,NOU
minuten,3.6488,N,NOU
liggen,3.6471,WW,VER
plaats,3.6421,N,NOU
vermoord,3.6414,WW,VER
leren,3.6414,WW,VER
gaf,3.6383,WW,VER
stad,3.6368,N,NOU
zult,3.6368,WW,VER
klein,3.6354,ADJ,ADJ
overal,3.6353,VNW,PRO
rond,3.6352,VZ,PRP
rest,3.6351,N,NOU
bed,3.6345,N,NOU
verdomme,3.6331,N,NOU
kennen,3.6328,WW,VER
hand,3.6317,N,NOU
hoorde,3.6312,WW,VER
stoppen,3.6305,WW,VER
spelen,3.6304,WW,VER
wakker,3.6261,ADJ,ADJ
vallen,3.625,WW,VER
bellen,3.6242,WW,VER
vaak,3.6219,ADJ,ADJ
slapen,3.6218,WW,VER
liever,3.6217,BW,ADV
langs,3.6217,VZ,PRP
gelukkig,3.6215,ADJ,ADJ
nacht,3.6208,N,NOU
kop,3.6202,N,NOU
zes,3.6194,ADJ,ADJ
duidelijk,3.6194,ADJ,ADJ
tien,3.6173,ADJ,ADJ
neemt,3.6151,WW,VER
al,3.6145,BW,ADV
mogelijk,3.6141,ADJ,ADJ
los,3.6138,ADJ,ADJ
terwijl,3.6131,VG,CON
zin,3.6126,N,NOU
kreeg,3.6123,WW,VER
meneer,3.6121,N,NOU
oud,3.612,ADJ,ADJ
erop,3.6114,BW,ADV
voelt,3.6109,WW,VER
'n,3.6108,N,NOU
politie,3.6096,N,NOU
belangrijk,3.6086,ADJ,ADJ
ermee,3.6083,BW,ADV
liet,3.6082,WW,VER
buurt,3.6081,N,NOU
water,3.607,N,NOU
vandaan,3.6064,VZ,PRP
stond,3.6063,WW,VER
fijn,3.6057,ADJ,ADJ
neer,3.6053,BW,ADV
drinken,3.6042,WW,VER
reden,3.6036,N,NOU
zetten,3.6033,WW,VER
nieuws,3.6028,N,NOU
valt,3.6028,WW,VER
klinkt,3.6026,WW,VER
vrouwen,3.6005,N,NOU
gezicht,3.6005,N,NOU
anderen,3.5996,ADJ,ADJ
mezelf,3.5993,VNW,PRO
schuld,3.5987,N,NOU
nergens,3.5975,VNW,PRO
zoon,3.5967,N,NOU
stuk,3.5966,N,NOU
plek,3.596,N,NOU
eerlijk,3.596,ADJ,ADJ
aardig,3.5958,ADJ,ADJ
straks,3.5957,BW,ADV
hard,3.5955,ADJ,ADJ
jaren,3.5947,N,NOU
gegeven,3.5943,WW,VER
dicht,3.5923,ADJ,ADJ
voordat,3.591,VG,CON
maanden,3.5864,N,NOU
geworden,3.5858,WW,VER
eraan,3.5855,BW,ADV
schat,3.5835,N,NOU
fout,3.5835,ADJ,ADJ
veilig,3.5826,ADJ,ADJ
beneden,3.5822,VZ,PRP
zaak,3.5805,N,NOU
begrepen,3.5802,WW,VER
verhaal,3.5794,N,NOU
dezelfde,3.5793,ADJ,ADJ
stil,3.5788,ADJ,ADJ
kwijt,3.5776,ADJ,ADJ
zaken,3.5767,N,NOU
recht,3.5762,N,NOU
daarna,3.5759,BW,ADV
per,3.5758,VZ,PRP
voorzichtig,3.5758,ADJ,ADJ
geluk,3.5751,N,NOU
waarschijnlijk,3.5737,ADJ,ADJ
inderdaad,3.5731,BW,ADV
vanaf,3.573,VZ,PRP
welkom,3.5728,ADJ,ADJ
redden,3.5725,WW,VER
hart,3.5723,N,NOU
mond,3.5716,N,NOU
waarheid,3.5675,N,NOU
'm,3.5655,VNW,PRO
vermoorden,3.5649,WW,VER
loopt,3.5644,WW,VER
doden,3.5635,WW,VER
elk,3.5632,VNW,PRO
geval,3.5628,N,NOU
avond,3.5625,N,NOU
erin,3.5615,BW,ADV
land,3.5599,N,NOU
noemen,3.5594,WW,VER
kwaad,3.5588,ADJ,ADJ
erbij,3.5533,BW,ADV
hield,3.5519,WW,VER
daarmee,3.5513,BW,ADV
ver,3.5507,ADJ,ADJ
allebei,3.5499,VNW,PRO
betalen,3.5469,WW,VER
vooruit,3.5462,BW,ADV
zomaar,3.5452,BW,ADV
verwacht,3.5442,WW,VER
pakken,3.5439,WW,VER
nummer,3.5425,N,NOU
weken,3.542,N,NOU
school,3.5406,N,NOU
begint,3.5406,WW,VER
maakte,3.5388,WW,VER
gisteren,3.5361,BW,ADV
deel,3.5354,N,NOU
alstublieft,3.5349,WW,VER
vriendin,3.5348,N,NOU
gebruikt,3.5347,WW,VER
antwoord,3.5336,N,NOU
minder,3.5334,VNW,PRO
tijdens,3.5333,VZ,PRP
sterven,3.5331,WW,VER
prachtig,3.5331,ADJ,ADJ
vertrouwen,3.5328,N,NOU
ervoor,3.5328,BW,ADV
vent,3.5307,N,NOU
bloed,3.5301,N,NOU
hoezo,3.5292,BW,ADV
gegaan,3.5279,WW,VER
veranderen,3.5272,WW,VER
vroeger,3.5272,ADJ,ADJ
hè,3.5261,N,NOU
leg,3.5256,WW,VER
ie,3.5241,VNW,PRO
bedoelt,3.5237,WW,VER
ontmoet,3.523,WW,VER
nieuw,3.5211,ADJ,ADJ
haat,3.5202,WW,VER
nogal,3.5202,BW,ADV
trek,3.519,WW,VER
verloren,3.5176,WW,VER
dokter,3.5172,N,NOU
tweede,3.5157,ADJ,ADJ
eindelijk,3.5151,ADJ,ADJ
plezier,3.5145,N,NOU
zichzelf,3.5144,VNW,PRO
gevoel,3.5138,N,NOU
woord,3.5136,N,NOU
meen,3.5122,WW,VER
verkeerd,3.512,ADJ,ADJ
loop,3.5116,WW,VER
gevraagd,3.5096,WW,VER
eén,3.5073,ADJ,ADJ
rijden,3.5072,WW,VER
baas,3.5069,N,NOU
vreemd,3.5068,ADJ,ADJ
brengt,3.506,WW,VER
telefoon,3.5049,N,NOU
gekregen,3.5019,WW,VER
stap,3.5004,N,NOU
zeer,3.4993,BW,ADV
nam,3.4991,WW,VER
slechte,3.499,ADJ,ADJ
liefde,3.4987,N,NOU
mens,3.4986,N,NOU
gesproken,3.4982,WW,VER
waard,3.4982,ADJ,ADJ
normaal,3.4978,ADJ,ADJ
voelen,3.4968,WW,VER
dochter,3.4955,N,NOU
heren,3.4951,N,NOU
broer,3.4949,N,NOU
gang,3.4946,N,NOU
vraagt,3.4933,WW,VER
kopen,3.4923,WW,VER
ouders,3.4922,N,NOU
begrijpen,3.4897,WW,VER
langer,3.4894,ADJ,ADJ
hoef,3.4894,WW,VER
leeft,3.4883,WW,VER
tenminste,3.4883,BW,ADV
gebruik,3.4881,WW,VER
weinig,3.4873,VNW,PRO
lichaam,3.4867,N,NOU
gebeld,3.4867,WW,VER
stellen,3.4856,WW,VER
stuur,3.4837,WW,VER
behalve,3.483,VG,CON
ontmoeten,3.482,WW,VER
baan,3.4814,N,NOU
klootzak,3.4804,N,NOU
grappig,3.4802,ADJ,ADJ
mocht,3.4799,WW,VER
einde,3.4784,N,NOU
hierheen,3.478,BW,ADV
dollar,3.477,N,NOU
naartoe,3.4763,BW,ADV
konden,3.4763,WW,VER
makkelijk,3.4761,ADJ,ADJ
begrijpt,3.4751,WW,VER
let,3.4744,WW,VER
val,3.4741,N,NOU
noem,3.4733,WW,VER
plan,3.473,N,NOU
mevrouw,3.4729,N,NOU
vertelde,3.4722,WW,VER
veranderd,3.4706,WW,VER
slaap,3.4698,N,NOU
beloof,3.4697,WW,VER
slim,3.4679,ADJ,ADJ
luisteren,3.4673,WW,VER
ziek,3.4663,ADJ,ADJ
helpt,3.4651,WW,VER
woorden,3.4622,N,NOU
trots,3.4622,ADJ,ADJ
ene,3.4601,VNW,PRO
begon,3.4594,WW,VER
erover,3.4588,BW,ADV
eet,3.4577,WW,VER
lukt,3.4573,WW,VER
spullen,3.457,N,NOU
kwamen,3.4559,WW,VER
gingen,3.4558,WW,VER
jawel,3.4544,N,NOU
wilden,3.4542,WW,VER
genomen,3.4538,WW,VER
kijkt,3.4527,WW,VER
lief,3.4519,ADJ,ADJ
lijken,3.4519,WW,VER
eentje,3.4509,ADJ,ADJ
welk,3.4507,VNW,PRO
grond,3.4496,N,NOU
spreek,3.4484,WW,VER
dames,3.4482,N,NOU
idioot,3.4479,ADJ,ADJ
naast,3.4478,VZ,PRP
succes,3.4475,N,NOU
half,3.4472,ADJ,ADJ
volgen,3.4458,WW,VER
gedacht,3.4456,WW,VER
probeerde,3.4454,WW,VER
getrouwd,3.444,WW,VER
onzin,3.4434,N,NOU
stom,3.4429,ADJ,ADJ
enkele,3.4426,VNW,PRO
verlaten,3.4425,WW,VER
pardon,3.4423,N,NOU
woont,3.4419,WW,VER
vreselijk,3.4415,ADJ,ADJ
opnieuw,3.4414,BW,ADV
probeert,3.4409,WW,VER
begonnen,3.44,WW,VER
jammer,3.439,ADJ,ADJ
zolang,3.4384,VG,CON
koffie,3.4378,N,NOU
juiste,3.4374,ADJ,ADJ
leek,3.4373,WW,VER
acht,3.4371,ADJ,ADJ
erger,3.4371,ADJ,ADJ
afgelopen,3.437,WW,VER
wonen,3.4368,WW,VER
absoluut,3.4354,ADJ,ADJ
stomme,3.4339,ADJ,ADJ
sommige,3.4323,VNW,PRO
ziens,3.4322,BW,ADV
licht,3.4315,N,NOU
goeie,3.4301,ADJ,ADJ
herinner,3.4298,WW,VER
sturen,3.4296,WW,VER
trouwens,3.4293,BW,ADV
lange,3.4289,ADJ,ADJ
sterk,3.4286,ADJ,ADJ
schieten,3.428,WW,VER
verkeerde,3.428,ADJ,ADJ
vorige,3.4267,ADJ,ADJ
gebeurde,3.4265,WW,VER
gevaarlijk,3.4263,ADJ,ADJ
werden,3.426,WW,VER
verliezen,3.425,WW,VER
perfect,3.4247,ADJ,ADJ
kantoor,3.4246,N,NOU
's,3.4239,WW,VER
kleren,3.4239,N,NOU
fantastisch,3.4236,ADJ,ADJ
moesten,3.4231,WW,VER
voorstellen,3.4218,WW,VER
omhoog,3.4208,BW,ADV
schelen,3.4208,WW,VER
lezen,3.4206,WW,VER
bestaat,3.4198,WW,VER
papa,3.4183,N,NOU
boos,3.4176,ADJ,ADJ
bekend,3.4175,ADJ,ADJ
meid,3.4168,N,NOU
hemel,3.4166,N,NOU
vertrekken,3.4146,WW,VER
maand,3.4145,N,NOU
viel,3.4136,WW,VER
ieder,3.4135,VNW,PRO
degene,3.4135,VNW,PRO
geleerd,3.4126,WW,VER
slaan,3.4118,WW,VER
duurt,3.4109,WW,VER
geprobeerd,3.4104,WW,VER
mama,3.4103,N,NOU
vooral,3.4098,BW,ADV
missen,3.4082,WW,VER
geheim,3.4081,N,NOU
koud,3.4077,ADJ,ADJ
kerel,3.4076,N,NOU
meisjes,3.4069,N,NOU
zeven,3.406,ADJ,ADJ
gered,3.406,WW,VER
grootste,3.405,ADJ,ADJ
raken,3.4048,WW,VER
persoon,3.4047,N,NOU
daarvoor,3.404,BW,ADV
raak,3.4035,WW,VER
beschermen,3.4031,WW,VER
lag,3.4014,WW,VER
leuke,3.4009,ADJ,ADJ
foto,3.4,N,NOU
zwaar,3.3995,ADJ,ADJ
vertrouw,3.3986,WW,VER
eind,3.3976,N,NOU
schatje,3.3974,N,NOU
betaald,3.3972,WW,VER
serieus,3.3965,ADJ,ADJ
gebracht,3.396,WW,VER
ongeveer,3.3955,BW,ADV
honger,3.3952,N,NOU
via,3.3946,VZ,PRP
trekken,3.3946,WW,VER
voelde,3.3943,WW,VER
jong,3.3936,ADJ,ADJ
vechten,3.3932,WW,VER
straat,3.3918,N,NOU
moe,3.3916,ADJ,ADJ
wapen,3.3913,N,NOU
afspraak,3.3913,N,NOU
zodra,3.3913,VG,CON
vanwege,3.3911,VZ,PRP
dienst,3.3909,N,NOU
zak,3.3904,N,NOU
agent,3.3902,N,NOU
dragen,3.3886,WW,VER
toekomst,3.3865,N,NOU
lachen,3.386,WW,VER
hoi,3.3854,N,NOU
houd,3.3854,WW,VER
lucht,3.3851,N,NOU
ongeluk,3.3845,N,NOU
gevaar,3.384,N,NOU
wegwezen,3.3822,WW,VER
kost,3.3818,WW,VER
gelooft,3.3815,WW,VER
zoekt,3.3813,WW,VER
mr,3.3809,N,NOU
onderzoek,3.3808,N,NOU
men,3.3802,VNW,PRO
lieverd,3.38,N,NOU
informatie,3.3789,N,NOU
tenzij,3.3782,VG,CON
kapot,3.3779,ADJ,ADJ
vertelt,3.3775,WW,VER
prijs,3.3768,N,NOU
bewijzen,3.3757,WW,VER
zover,3.3742,BW,ADV
droom,3.374,N,NOU
arme,3.3735,ADJ,ADJ
zul,3.3725,WW,VER
geraakt,3.3716,WW,VER
waarvoor,3.3714,BW,ADV
bewijs,3.3711,N,NOU
geboren,3.3692,ADJ,ADJ
gewerkt,3.3692,WW,VER
moord,3.3687,N,NOU
volg,3.3685,WW,VER
contact,3.3683,N,NOU
hond,3.3675,N,NOU
gemist,3.367,WW,VER
jezus,3.3657,N,NOU
speelt,3.3649,WW,VER
oorlog,3.364,N,NOU
werkte,3.3636,WW,VER
rug,3.3634,N,NOU
raar,3.3632,ADJ,ADJ
mijne,3.3625,VNW,PRO
winnen,3.3608,WW,VER
nadat,3.3606,VG,CON
rij,3.3589,N,NOU
leggen,3.3587,WW,VER
ziekenhuis,3.3572,N,NOU
kende,3.3572,WW,VER
reis,3.3568,N,NOU
ter,3.3568,VZ,PRP
gestuurd,3.3562,WW,VER
raad,3.3535,N,NOU
verkopen,3.351,WW,VER
lieve,3.3501,ADJ,ADJ
regelen,3.3501,WW,VER
hangt,3.3493,WW,VER
trouwen,3.3491,WW,VER
zus,3.3487,N,NOU
gestolen,3.3487,WW,VER
zeiden,3.3475,WW,VER
gedood,3.3471,WW,VER
rust,3.3471,N,NOU
boek,3.3465,N,NOU
hoeven,3.346,WW,VER
namen,3.3446,N,NOU
nietwaar,3.3442,N,NOU
deden,3.3438,WW,VER
verliefd,3.3436,ADJ,ADJ
vanuit,3.3416,VZ,PRP
onmogelijk,3.3414,ADJ,ADJ
zulke,3.3412,VNW,PRO
regel,3.3404,N,NOU
sla,3.3402,WW,VER
uitleggen,3.3402,WW,VER
grapje,3.3397,N,NOU
zweer,3.3395,WW,VER
moeite,3.3389,N,NOU
kracht,3.3385,N,NOU
jonge,3.3377,ADJ,ADJ
keek,3.3377,WW,VER
arm,3.3373,N,NOU
tafel,3.3371,N,NOU
baby,3.3355,N,NOU
gedachten,3.3353,N,NOU
liep,3.3349,WW,VER
lastig,3.3347,ADJ,ADJ
zwarte,3.3345,ADJ,ADJ
derde,3.333,ADJ,ADJ
onderweg,3.333,BW,ADV
dom,3.3326,ADJ,ADJ
schrijven,3.3324,WW,VER
miljoen,3.3322,N,NOU
vuur,3.3322,N,NOU
delen,3.3322,WW,VER
